Factory_ID,Employment,Year,Source 
3,80,1911,"Lando, 2023, p.12"
3,150,1900,
3,290,1954,"Lando, 2023, p.40"
3,140,1954,"Lando, 2023, p.40"
3,103,1956,
3,33,1957,"Lando, 2023, p.40"
401,150,1914,"Lando, 2023, p. 13"
6,130,1908,https://www.birravenezia.it/en/our-story#
16,107,1980,"Lando, 2023, p.46"
16,73,1986,"Lando, 2023, p.46"
16,66,1989,"Lando, 2023, p.46"
16,47,1990,"Lando, 2023, p.46"
19,60,1878,"Lando, 2023, p.16"
19,100,1900,"Lando, 2023, p.16"
19,300,1914,"Lando, 2023, p.16"
19,500,1920,"Lando, 2023, p.16"
19,300,1933,"Lando, 2023, p.34"
19,750,1947,"Lando, 2023, p.41"
19,1037,1974,"Lando, 2023, p.44"
19,650,1981,"Stampa: Tipografia Commerciale/Venezia, 1981"
19,271,1987,"Lando, 2023, p.47"
19,180,1990,"Lando, 2023, p.47"
19,124,1992,"Lando, 2023, p.47"
19,70,1993,"Lando, 2023, p.47"
27,600,1960,"Pietro Lando. Interview, 2024."
30,6,1981,"Stampa: Tipografia Commerciale/Venezia, 1981"
391,120,1960,"Pietro Lando. Interview, 2024."
51,29,1911,
48,160,1925,"Lando, 2023, p. 11"
